dataset,model,demographic,correlation,p_value,sample_size,ci_lower,ci_upper,p_corrected,significant
popq,gemini,man,0.4947559966865787,2.8539409995111258e-92,1481,0.45529287358531173,0.5322789571441723,3.1393350994622385e-91,True
popq,gemini,white,0.5926110653885148,5.73803793382927e-142,1490,0.5586400574085335,0.6245971217478836,8.033253107360978e-141,True
popq,gemini,woman,0.5222015599280793,4.121526156412624e-104,1477,0.4840893899292467,0.558336132582725,4.945831387695149e-103,True
popq,gemini,overall,0.5959319765807847,6.090779437573674e-144,1490,0.5621617591616181,0.6277182418834656,9.136169156360512e-143,True
popq,solar,asian,0.3013832364303979,1.1394544642510727e-10,439,0.2138239406592065,0.38413853289445515,1.1394544642510727e-10,True
popq,solar,black,0.26523377299894135,1.3272417042450083e-11,630,0.19107866941926518,0.33637848807303794,2.6544834084900165e-11,True
popq,solar,man,0.40448910732715293,6.621154909140498e-37,904,0.34847659960333494,0.4576229886784435,3.310577454570249e-36,True
popq,solar,white,0.4757840315990097,1.5621710140875419e-52,909,0.42387392601556045,0.5245786184818091,1.4059539126787878e-51,True
popq,solar,woman,0.4171442350901947,3.0389583137100176e-39,901,0.36168642904924864,0.4696603545269907,1.8233749882260104e-38,True
popq,solar,overall,0.47878459708935106,2.887248312213309e-53,909,0.4270562659832747,0.5273893308715172,2.887248312213309e-52,True
sbic,gpt,asian,0.49463478885341644,0.0,6924,0.47663309034224316,0.5122218382967165,0.0,True
sbic,gpt,black,0.4505654158226273,1.334330036177715e-215,4331,0.42650535331699396,0.473988284768982,4.002990108533145e-215,True
sbic,gpt,hispanic,0.6147848595018435,0.0,6827,0.5998105980201145,0.6293286362505238,0.0,True
sbic,gpt,man,0.5900205587424697,0.0,34216,0.5830699200783277,0.5968848296874608,0.0,True
sbic,gpt,white,0.5930377056875372,0.0,42760,0.5868581143239631,0.5991482143679366,0.0,True
sbic,gpt,woman,0.5601807853339379,0.0,35289,0.5529792351564348,0.5672986434247472,0.0,True
sbic,gpt,overall,0.5978984009831521,0.0,44056,0.5918649722490728,0.6038648333377713,0.0,True
sbic,gemini,asian,0.38474471349215866,4.4159125244515875e-231,6578,0.3639622195160087,0.40514429759595344,1.766365009780635e-230,True
sbic,gemini,black,0.37311737990686983,4.499955236175799e-134,4053,0.34630748786638255,0.399318305615984,4.499955236175799e-134,True
sbic,gemini,hispanic,0.5024075161779729,0.0,6490,0.4839937209601304,0.5203765844618466,0.0,True
sbic,gemini,man,0.4824879919863537,0.0,32417,0.47409216845686747,0.4907960812302781,0.0,True
sbic,gemini,white,0.4841188019073569,0.0,40374,0.47661513328505034,0.49155193480657333,0.0,True
sbic,gemini,woman,0.45461970420003583,0.0,33366,0.44606566013456955,0.4630906991053227,0.0,True
sbic,gemini,overall,0.48654274323482977,0.0,41579,0.4791716676245964,0.49384519596859344,0.0,True
sbic,solar,asian,0.4918619447385804,0.0,6417,0.4730875628213718,0.5101898072603878,0.0,True
sbic,solar,black,0.43431486239740447,1.3467807306413002e-187,4085,0.4090964348979543,0.4588703383641757,2.6935614612826005e-187,True
sbic,solar,hispanic,0.5785758941126882,0.0,6275,0.5618763938274512,0.5948040080358341,0.0,True
sbic,solar,man,0.580079978367419,0.0,31796,0.5727401069382622,0.5873268438172851,0.0,True
sbic,solar,white,0.5861659496230378,0.0,39966,0.5796932868767842,0.5925646433197701,0.0,True
sbic,solar,woman,0.5555560413153576,0.0,32908,0.5480412383856574,0.5629811681530288,0.0,True
sbic,solar,overall,0.5909533511861023,0.0,41225,0.5846352741819074,0.5971997531813478,0.0,True
